,pressure,wavenumber,opd,w0,g0
0,1,4000.0,0.0,0.0,0.0
1,1,4166.666666666667,0.0,0.0,0.0
2,1,4347.826086956522,0.0,0.0,0.0
3,1,4545.454545454545,0.0,0.0,0.0
4,1,4761.9047619047615,0.0,0.0,0.0
5,1,5000.0,0.0,0.0,0.0
6,1,5263.1578947368425,0.0,0.0,0.0
7,1,5555.555555555556,0.0,0.0,0.0
8,1,5882.352941176471,0.0,0.0,0.0
9,1,6250.0,0.0,0.0,0.0
10,1,6666.666666666667,0.0,0.0,0.0
11,1,7142.857142857143,0.0,0.0,0.0
12,1,7692.307692307692,0.0,0.0,0.0
13,1,8333.333333333334,0.0,0.0,0.0
14,1,9090.90909090909,0.0,0.0,0.0
15,1,10000.0,0.0,0.0,0.0
16,1,11111.111111111111,0.0,0.0,0.0
17,1,12500.0,0.0,0.0,0.0
18,1,14285.714285714286,0.0,0.0,0.0
19,1,16666.666666666668,0.0,0.0,0.0
20,1,20000.0,0.0,0.0,0.0
21,1,25000.0,0.0,0.0,0.0
22,1,33333.333333333336,0.0,0.0,0.0
23,1,50000.0,0.0,0.0,0.0
24,2,4000.0,0.0,0.0,0.0
25,2,4166.666666666667,0.0,0.0,0.0
26,2,4347.826086956522,0.0,0.0,0.0
27,2,4545.454545454545,0.0,0.0,0.0
28,2,4761.9047619047615,0.0,0.0,0.0
29,2,5000.0,0.0,0.0,0.0
30,2,5263.1578947368425,0.0,0.0,0.0
31,2,5555.555555555556,0.0,0.0,0.0
32,2,5882.352941176471,0.0,0.0,0.0
33,2,6250.0,0.0,0.0,0.0
34,2,6666.666666666667,0.0,0.0,0.0
35,2,7142.857142857143,0.0,0.0,0.0
36,2,7692.307692307692,0.0,0.0,0.0
37,2,8333.333333333334,0.0,0.0,0.0
38,2,9090.90909090909,0.0,0.0,0.0
39,2,10000.0,0.0,0.0,0.0
40,2,11111.111111111111,0.0,0.0,0.0
41,2,12500.0,0.0,0.0,0.0
42,2,14285.714285714286,0.0,0.0,0.0
43,2,16666.666666666668,0.0,0.0,0.0
44,2,20000.0,0.0,0.0,0.0
45,2,25000.0,0.0,0.0,0.0
46,2,33333.333333333336,0.0,0.0,0.0
47,2,50000.0,0.0,0.0,0.0
48,3,4000.0,0.0,0.0,0.0
49,3,4166.666666666667,0.0,0.0,0.0
50,3,4347.826086956522,0.0,0.0,0.0
51,3,4545.454545454545,0.0,0.0,0.0
52,3,4761.9047619047615,0.0,0.0,0.0
53,3,5000.0,0.0,0.0,0.0
54,3,5263.1578947368425,0.0,0.0,0.0
55,3,5555.555555555556,0.0,0.0,0.0
56,3,5882.352941176471,0.0,0.0,0.0
57,3,6250.0,0.0,0.0,0.0
58,3,6666.666666666667,0.0,0.0,0.0
59,3,7142.857142857143,0.0,0.0,0.0
60,3,7692.307692307692,0.0,0.0,0.0
61,3,8333.333333333334,0.0,0.0,0.0
62,3,9090.90909090909,0.0,0.0,0.0
63,3,10000.0,0.0,0.0,0.0
64,3,11111.111111111111,0.0,0.0,0.0
65,3,12500.0,0.0,0.0,0.0
66,3,14285.714285714286,0.0,0.0,0.0
67,3,16666.666666666668,0.0,0.0,0.0
68,3,20000.0,0.0,0.0,0.0
69,3,25000.0,0.0,0.0,0.0
70,3,33333.333333333336,0.0,0.0,0.0
71,3,50000.0,0.0,0.0,0.0
72,4,4000.0,0.0,0.0,0.0
73,4,4166.666666666667,0.0,0.0,0.0
74,4,4347.826086956522,0.0,0.0,0.0
75,4,4545.454545454545,0.0,0.0,0.0
76,4,4761.9047619047615,0.0,0.0,0.0
77,4,5000.0,0.0,0.0,0.0
78,4,5263.1578947368425,0.0,0.0,0.0
79,4,5555.555555555556,0.0,0.0,0.0
80,4,5882.352941176471,0.0,0.0,0.0
81,4,6250.0,0.0,0.0,0.0
82,4,6666.666666666667,0.0,0.0,0.0
83,4,7142.857142857143,0.0,0.0,0.0
84,4,7692.307692307692,0.0,0.0,0.0
85,4,8333.333333333334,0.0,0.0,0.0
86,4,9090.90909090909,0.0,0.0,0.0
87,4,10000.0,0.0,0.0,0.0
88,4,11111.111111111111,0.0,0.0,0.0
89,4,12500.0,0.0,0.0,0.0
90,4,14285.714285714286,0.0,0.0,0.0
91,4,16666.666666666668,0.0,0.0,0.0
92,4,20000.0,0.0,0.0,0.0
93,4,25000.0,0.0,0.0,0.0
94,4,33333.333333333336,0.0,0.0,0.0
95,4,50000.0,0.0,0.0,0.0
96,5,4000.0,0.0,0.0,0.0
97,5,4166.666666666667,0.0,0.0,0.0
98,5,4347.826086956522,0.0,0.0,0.0
99,5,4545.454545454545,0.0,0.0,0.0
100,5,4761.9047619047615,0.0,0.0,0.0
101,5,5000.0,0.0,0.0,0.0
102,5,5263.1578947368425,0.0,0.0,0.0
103,5,5555.555555555556,0.0,0.0,0.0
104,5,5882.352941176471,0.0,0.0,0.0
105,5,6250.0,0.0,0.0,0.0
106,5,6666.666666666667,0.0,0.0,0.0
107,5,7142.857142857143,0.0,0.0,0.0
108,5,7692.307692307692,0.0,0.0,0.0
109,5,8333.333333333334,0.0,0.0,0.0
110,5,9090.90909090909,0.0,0.0,0.0
111,5,10000.0,0.0,0.0,0.0
112,5,11111.111111111111,0.0,0.0,0.0
113,5,12500.0,0.0,0.0,0.0
114,5,14285.714285714286,0.0,0.0,0.0
115,5,16666.666666666668,0.0,0.0,0.0
116,5,20000.0,0.0,0.0,0.0
117,5,25000.0,0.0,0.0,0.0
118,5,33333.333333333336,0.0,0.0,0.0
119,5,50000.0,0.0,0.0,0.0
120,6,4000.0,0.0,0.0,0.0
121,6,4166.666666666667,0.0,0.0,0.0
122,6,4347.826086956522,0.0,0.0,0.0
123,6,4545.454545454545,0.0,0.0,0.0
124,6,4761.9047619047615,0.0,0.0,0.0
125,6,5000.0,0.0,0.0,0.0
126,6,5263.1578947368425,0.0,0.0,0.0
127,6,5555.555555555556,0.0,0.0,0.0
128,6,5882.352941176471,0.0,0.0,0.0
129,6,6250.0,0.0,0.0,0.0
130,6,6666.666666666667,0.0,0.0,0.0
131,6,7142.857142857143,0.0,0.0,0.0
132,6,7692.307692307692,0.0,0.0,0.0
133,6,8333.333333333334,0.0,0.0,0.0
134,6,9090.90909090909,0.0,0.0,0.0
135,6,10000.0,0.0,0.0,0.0
136,6,11111.111111111111,0.0,0.0,0.0
137,6,12500.0,0.0,0.0,0.0
138,6,14285.714285714286,0.0,0.0,0.0
139,6,16666.666666666668,0.0,0.0,0.0
140,6,20000.0,0.0,0.0,0.0
141,6,25000.0,0.0,0.0,0.0
142,6,33333.333333333336,0.0,0.0,0.0
143,6,50000.0,0.0,0.0,0.0
144,7,4000.0,0.0,0.0,0.0
145,7,4166.666666666667,0.0,0.0,0.0
146,7,4347.826086956522,0.0,0.0,0.0
147,7,4545.454545454545,0.0,0.0,0.0
148,7,4761.9047619047615,0.0,0.0,0.0
149,7,5000.0,0.0,0.0,0.0
150,7,5263.1578947368425,0.0,0.0,0.0
151,7,5555.555555555556,0.0,0.0,0.0
152,7,5882.352941176471,0.0,0.0,0.0
153,7,6250.0,0.0,0.0,0.0
154,7,6666.666666666667,0.0,0.0,0.0
155,7,7142.857142857143,0.0,0.0,0.0
156,7,7692.307692307692,0.0,0.0,0.0
157,7,8333.333333333334,0.0,0.0,0.0
158,7,9090.90909090909,0.0,0.0,0.0
159,7,10000.0,0.0,0.0,0.0
160,7,11111.111111111111,0.0,0.0,0.0
161,7,12500.0,0.0,0.0,0.0
162,7,14285.714285714286,0.0,0.0,0.0
163,7,16666.666666666668,0.0,0.0,0.0
164,7,20000.0,0.0,0.0,0.0
165,7,25000.0,0.0,0.0,0.0
166,7,33333.333333333336,0.0,0.0,0.0
167,7,50000.0,0.0,0.0,0.0
168,8,4000.0,0.0,0.0,0.0
169,8,4166.666666666667,0.0,0.0,0.0
170,8,4347.826086956522,0.0,0.0,0.0
171,8,4545.454545454545,0.0,0.0,0.0
172,8,4761.9047619047615,0.0,0.0,0.0
173,8,5000.0,0.0,0.0,0.0
174,8,5263.1578947368425,0.0,0.0,0.0
175,8,5555.555555555556,0.0,0.0,0.0
176,8,5882.352941176471,0.0,0.0,0.0
177,8,6250.0,0.0,0.0,0.0
178,8,6666.666666666667,0.0,0.0,0.0
179,8,7142.857142857143,0.0,0.0,0.0
180,8,7692.307692307692,0.0,0.0,0.0
181,8,8333.333333333334,0.0,0.0,0.0
182,8,9090.90909090909,0.0,0.0,0.0
183,8,10000.0,0.0,0.0,0.0
184,8,11111.111111111111,0.0,0.0,0.0
185,8,12500.0,0.0,0.0,0.0
186,8,14285.714285714286,0.0,0.0,0.0
187,8,16666.666666666668,0.0,0.0,0.0
188,8,20000.0,0.0,0.0,0.0
189,8,25000.0,0.0,0.0,0.0
190,8,33333.333333333336,0.0,0.0,0.0
191,8,50000.0,0.0,0.0,0.0
192,9,4000.0,0.0,0.0,0.0
193,9,4166.666666666667,0.0,0.0,0.0
194,9,4347.826086956522,0.0,0.0,0.0
195,9,4545.454545454545,0.0,0.0,0.0
196,9,4761.9047619047615,0.0,0.0,0.0
197,9,5000.0,0.0,0.0,0.0
198,9,5263.1578947368425,0.0,0.0,0.0
199,9,5555.555555555556,0.0,0.0,0.0
200,9,5882.352941176471,0.0,0.0,0.0
201,9,6250.0,0.0,0.0,0.0
202,9,6666.666666666667,0.0,0.0,0.0
203,9,7142.857142857143,0.0,0.0,0.0
204,9,7692.307692307692,0.0,0.0,0.0
205,9,8333.333333333334,0.0,0.0,0.0
206,9,9090.90909090909,0.0,0.0,0.0
207,9,10000.0,0.0,0.0,0.0
208,9,11111.111111111111,0.0,0.0,0.0
209,9,12500.0,0.0,0.0,0.0
210,9,14285.714285714286,0.0,0.0,0.0
211,9,16666.666666666668,0.0,0.0,0.0
212,9,20000.0,0.0,0.0,0.0
213,9,25000.0,0.0,0.0,0.0
214,9,33333.333333333336,0.0,0.0,0.0
215,9,50000.0,0.0,0.0,0.0
216,10,4000.0,0.0,0.0,0.0
217,10,4166.666666666667,0.0,0.0,0.0
218,10,4347.826086956522,0.0,0.0,0.0
219,10,4545.454545454545,0.0,0.0,0.0
220,10,4761.9047619047615,0.0,0.0,0.0
221,10,5000.0,0.0,0.0,0.0
222,10,5263.1578947368425,0.0,0.0,0.0
223,10,5555.555555555556,0.0,0.0,0.0
224,10,5882.352941176471,0.0,0.0,0.0
225,10,6250.0,0.0,0.0,0.0
226,10,6666.666666666667,0.0,0.0,0.0
227,10,7142.857142857143,0.0,0.0,0.0
228,10,7692.307692307692,0.0,0.0,0.0
229,10,8333.333333333334,0.0,0.0,0.0
230,10,9090.90909090909,0.0,0.0,0.0
231,10,10000.0,0.0,0.0,0.0
232,10,11111.111111111111,0.0,0.0,0.0
233,10,12500.0,0.0,0.0,0.0
234,10,14285.714285714286,0.0,0.0,0.0
235,10,16666.666666666668,0.0,0.0,0.0
236,10,20000.0,0.0,0.0,0.0
237,10,25000.0,0.0,0.0,0.0
238,10,33333.333333333336,0.0,0.0,0.0
239,10,50000.0,0.0,0.0,0.0
240,11,4000.0,0.0,0.0,0.0
241,11,4166.666666666667,0.0,0.0,0.0
242,11,4347.826086956522,0.0,0.0,0.0
243,11,4545.454545454545,0.0,0.0,0.0
244,11,4761.9047619047615,0.0,0.0,0.0
245,11,5000.0,0.0,0.0,0.0
246,11,5263.1578947368425,0.0,0.0,0.0
247,11,5555.555555555556,0.0,0.0,0.0
248,11,5882.352941176471,0.0,0.0,0.0
249,11,6250.0,0.0,0.0,0.0
250,11,6666.666666666667,0.0,0.0,0.0
251,11,7142.857142857143,0.0,0.0,0.0
252,11,7692.307692307692,0.0,0.0,0.0
253,11,8333.333333333334,0.0,0.0,0.0
254,11,9090.90909090909,0.0,0.0,0.0
